date	pivot	close	tx_id	from	from quote	to	to quote	gas estimated	gas token	gas quote	gas	gas actual	gas $	rec	trade	vol	keeping	AVAX $	AVAX $ total	new to-computed	new to-actual	commission	gain	UNDEAD $	UNDEAD $ total	gain, total $	ROI	APR	distributed	or:	token	paydown	or:	token
2025-10-14	1	1	https://snowtrace.io/tx/0x31a5260b6f93465f6ed12be4303347f1be0dd03729a95212171a94863459a926	UNDEAD	$0.002681	AVAX	$22.58	$0.09	AVAX	$22.58	0.00399	0.00398	$0.09	177296	177296	$475.33	0	$86.98	$86.98	21.05	21.55	0.000	3.8525	$0.00	$0.00	$86.98	21.77%	467.33%	$69.22	2.45	sAVAX	$8.70	0.31	sAVAX
2025-12-08	3	2	https://snowtrace.io/tx/0xec82c1befe41e07c8de2522eea11acc074cffabd1d58ef10eab9024e08c8a0ec	AVAX	$13.68	UNDEAD	$0.001351	$0.03	AVAX	$13.68	0.00219	0.001822959198	$0.02	38.61	38.61	$528.16	0	$0.00	$86.98	390938	369138	0.000	35215	$47.58	$47.58	$47.58	10.55%	69.99%	$38.06	22507	UNDEAD	$4.76	2813	UNDEAD
2025-12-22	6	3	https://snowtrace.io/tx/0x1cd49cf7c3221a22cce94d2d521e61d3b48d0f869cc0bf9a96c081196cbc5fa1	UNDEAD	$0.001657	AVAX	$12.34	$0.09	AVAX	$12.34	0.00729	0.00339	$0.04	357342	357342	$592.12	0	$129.08	$216.06	47.98	47.46	0.000	10.4604	$0.00	$47.58	$129.08	28.27%	737.07%	$103.26	6.69	sAVAX	$12.91	0.84	sAVAX
2026-01-05	4;7	4	https://snowtrace.io/tx/0x4511fa5dfde178d44ef2da132f4cf46839cbb27d5c0dd7bbad61b64ea1a61480	UNDEAD	$0.001667	AVAX	$8.41	$0.01	AVAX	$8.41	0.00119	0.00156	$0.01	318692	318692	$531.26	0	$221.87	$437.93	63.17	67.91	0.000	26.3820	$0.00	$47.58	$221.87	63.52%	478.06%	$177.50	16.86	sAVAX	$22.19	2.11	sAVAX
