ix,pool,open_pivots,last_pivot_on_dt,opened,ids,close_id,close_date,from,from_blockchain,amount1,virtual,quote1,val1,gain_10_percent,pivot_token,pivot_blockchain,pivot_close_price,pivot_amount,proposed_token,proposed_blockchain,proposed_close_price,proposed_amount,roi,apr,gain_usd
1,UNDEAD+USDC,23,2026-08-05,2026-07-17,46;48;49;50;51;53;55;56;57;58;59;60;61;62;65,21,2026-08-13,UNDEAD,Avalanche,15567463,2883162,$0.000748,$13808.27,20295686,USDC,Avalanche,$1.00,13321.753,UNDEAD,Avalanche,$0.000512,26009750,40.97%,553.85%,$5455.16
2,ETH+UNDEAD,12,2026-08-05,2026-07-30,62;63;65;68;70,30,2026-08-13,UNDEAD,Avalanche,7400000,0,$0.000614,$4544.00,8140000,ETH,Avalanche,$1884.50,2.3398,UNDEAD,Avalanche,$0.000512,8613196,16.39%,427.43%,$722.89
3,BTC+UNDEAD,20,2026-08-05,2026-07-28,58;60;61;63,21,2026-08-13,UNDEAD,Avalanche,5550000,0,$0.000627,$3481.50,6105000,BTC,Avalanche,$63542.00,0.052557,UNDEAD,Avalanche,$0.000512,6523503,17.54%,400.14%,$585.78
4,BTC+UNDEAD,20,2026-08-05,2026-07-17,44;59;62;64,22,2026-08-13,BTC,Avalanche,0.0,0.08382,$63542.00,$5326.26,0.0922,UNDEAD,Avalanche,$0.00151193,10572599,BTC,Avalanche,$63542.00,0.2515663594,200.12%,2746.96%,$10658.77
