opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-09-04	35	22	https://snowtrace.io/tx/0x7a8c917a4e040deec8844d8f054ca435c2e718185139b47707daa30aa9ddea48	n/a	UNDEAD	Avalanche	172000	0	$0.002908	$500.18	189200	AVAX	Avalanche	19.9131	0	$24.36	$485.08
2025-09-04	36	23	virtual_swap	n/a	AVAX	Avalanche	0	40.406513	$24.36	$984.30	44.447166	UNDEAD	Avalanche	325205	0	$0.00	$0.00
2025-10-22	37	0	https://snowtrace.io/tx/0xbdd0f2fb51598688d677542d9d6ae721601864f897459aeb13ec88665a14a8de	n/a	UNDEAD	Avalanche	218000	0	$0.002488	$542.38	239800	AVAX	Avalanche	25.7502	0	$19.29	$496.72
2025-10-22	38	23	https://snowtrace.io/tx/0x425d439895e64a24305872a6945e78de53b2fc43a6efc4ab69279170ed1dd426	n/a	AVAX	Avalanche	26.860523	0	$19.29	$518.14	29.546576	UNDEAD	Avalanche	217113	0	$0.00	$0.00
2026-01-15	39	25	virtual_swap	2026-03-19	UNDEAD	Avalanche	0	527460.4	$0.002427	$1280.15	580206.44	AVAX	Avalanche	134.8959	0	$9.49	$1280.16
2026-01-15	40	24	virtual_swap	n/a	AVAX	Avalanche	0	75	$13.72	$1029.00	82.5	UNDEAD	Avalanche	479600	0	$0.00	$0.00
2026-04-02	41	26	virtual_swap	2026-04-10	UNDEAD	Avalanche	0	1012051	$0.001781	$1802.46	1113256.1	AVAX	Avalanche	194.60458	0	$9.26	$1802.04
2026-04-02	42	27	virtual_swap	2026-04-06	AVAX	Avalanche	0	153.22185	$9.40	$1440.29	168.54404	UNDEAD	Avalanche	1140774.9	0	$0.00	$0.00
2026-04-10	43	28	https://snowtrace.io/tx/0x93a0970949db162526d9cc591f4370ab2bd05ddf8a573ab75f8a8ff01e58ad4e	n/a	UNDEAD	Avalanche	621000	0	$0.001781	$1106.00	683100	AVAX	Avalanche	100.9033	0	$9.26	$934.36
2026-04-10	44	0	virtual_swap	2026-07-03	AVAX	Avalanche	0	139.57365	$6.86	$957.48	153.53102	UNDEAD	Avalanche	1140775	0	$0.000839	$957.11
2026-04-13	45	0	https://snowtrace.io/tx/0x9d88b8a9ac6957b06462ed2f7241c542ca40825a2118c7afcf733dfec90afcf1	n/a	AVAX	Avalanche	106.93	0	$9.02	$964.51	117.623	UNDEAD	Avalanche	656956	0	$0.001479	$971.64
