date	pivot	close	trx_id	from	from quote	to	to quote	trade	vol	new to-actual	gain	gain, total $	ROI	APR
2025-08-03	2,13	1	http...	UNDEAD	$0.002538	BTC	$113,828	483,094	$1,226.09	0.009426	0.000986	$112.27	11.69%	355.46%
2025-08-04	4	2	http...	UNDEAD	$0.008462	BTC	$114,529	229179	$1,939.31	0.015258	0.011058	$1,266.48	263.29%	5652.99%

