date	pivot	close	tx_id	from	from quote	to	to quote	gas estimated	gas token	gas quote	gas	gas actual	gas $	rec	trade	keeping	USDC $	USDC $ total	new to-computed	new to-actual	commission	gain	BTC $	BTC $ total	gain, total $	ROI	APR
2025-05-08	5	1	https://snowtrace.io/tx/0xb15b98d0ad5016407aaaa6cbb3035a3ac3b61cd5fd699860a292e4f118eec1b3	BTC	$99,454.00	USDC	$1.00	$0.02	AVAX	$22.06	0.00091	0.00297	$0.07	0.01134	0.01134	0.000000	$164.34	$164.34	1127.3827	1164.3456	0.00	164.34	$0.00	$0.00	$164.34	16.43%	83.31%
2025-05-22	2	2	https://snowtrace.io/tx/0x85cebbc0c07258b934f29dadaaf81b828892f1d0cf99a6ff6d0792dcc3e2a3d5	BTC	$111,192.00	USDC	$1.00	$0.02	AVAX	$25.14	0.00080	0.00268	$0.07	0.01040	0.01040	-0.000005	$154.11	$318.45	1156.3968	1154.1066	0.00	154.11	-$0.55	-$0.55	$153.56	15.39%	59.77%
2025-05-22	4	3	https://snowtrace.io/tx/0x730088ba9e905d84d65ff293b2a08c5d7d76154e0a55357ee390f741776bc09c	BTC	$111,192.00	USDC	$1.00	$0.02	AVAX	$25.14	0.00080	0.00256	$0.06	0.01035	0.01035	0.000003	$147.91	$466.36	1150.8372	1147.9114	0.00	147.91	$0.34	-$0.21	$148.26	14.81%	60.74%
2025-05-22	1	4	https://snowtrace.io/tx/0x8eb8ba0dbd386c7498ffa161e538d4c001577fb6da823582b87a74d796770e56	BTC	$111,192.00	USDC	$1.00	$0.02	AVAX	$25.14	0.00080	0.00123	$0.03	0.01026	0.01026	0.000000	$136.31	$602.67	1141.0990	1136.3075	0.00	136.31	$0.00	-$0.21	$136.31	13.63%	51.29%
2025-05-22	3	5	virtual swap	BTC	$111,192.00	USDC	$1.00	$0.02	AVAX	$25.14	0.00080	0.00000	$0.00	0.01030	0.01030	0.000000	$139.94	$742.61	1144.7483	1139.9415	0.00	139.94	$0.00	-$0.21	$139.94	13.99%	55.52%
2025-12-22	19	6	https://snowtrace.io/tx/0x14d5104e1b2ef97fb34ce43e7a0ba8cab13773be7837533e1972587ba46a09fb	USDC	$1.00	BTC	$89,935.00	$0.01	AVAX	$12.18	0.00082	0.000849213483	$0.01	500.32866	500.33	-0.001342	$0.00	$742.61	0.005563	0.005713	0.00	0.001040	$93.50	$93.30	$93.50	14.67%	29.90%
2026-02-23	6;7;8;9;10;11	7	https://snowtrace.io/tx/0x1fe41df9be8b11e761251acbc3fd1b3ddc5cbaace94c789e8fbb4feb1d3a9774	USDC	$1.00	BTC	$64,710.00	$0.01	AVAX	$8.41	0.00119	0.0009859303523	$0.01	4510.05404	4,510.07	-0.016260	-$0.02	$742.59	0.069697	0.069575	0.00	0.018165	$1,175.46	$1,268.75	$1,175.44	35.33%	39.76%
